flight_id,People_on_a_board,average_sum
794,110,1020500.00
795,110,1021700.00
796,93,880600.00
800,104,913800.00
801,108,967800.00
802,109,960600.00
807,97,906200.00
808,96,847500.00
811,100,888200.00
812,100,859800.00
813,98,914100.00
814,95,891600.00
819,97,905600.00
820,91,866000.00
824,109,1028300.00
825,97,878400.00
826,102,886500.00
827,95,787600.00
828,98,900200.00
831,106,981000.00
832,104,915000.00
833,96,885600.00
836,85,746600.00
838,99,945600.00
839,84,738700.00
840,8,67500.00
841,12,107000.00
842,78,739600.00
847,94,846800.00
848,113,988000.00
851,93,854600.00
852,95,851700.00
853,95,813600.00
856,95,863800.00
858,100,847700.00
863,116,996600.00
864,102,873800.00
865,106,900000.00
868,105,921100.00
870,106,929000.00
871,93,866700.00
872,98,834900.00
874,97,866300.00
875,89,759500.00
876,93,826200.00
881,95,867400.00
882,78,724500.00
884,101,894300.00
885,94,820200.00
886,1,6700.00
887,97,841500.00
889,103,908300.00
896,108,955100.00
898,99,787200.00
903,99,908100.00
904,97,891100.00
905,95,841400.00
906,91,788000.00
908,102,925200.00
912,117,1068000.00
913,116,1048000.00
914,98,806500.00
915,94,846200.00
916,100,887600.00
917,108,954500.00
922,98,846400.00
923,94,834700.00
925,97,827600.00
926,103,947000.00
927,87,760000.00
930,96,873500.00
931,92,820100.00
932,102,899800.00
933,92,794700.00
934,87,812000.00
937,97,867500.00
938,93,851000.00
939,112,969800.00
945,77,692400.00
946,96,886200.00
949,98,886300.00
950,114,1007400.00
952,100,886400.00
953,97,892900.00
955,93,840700.00
958,100,847100.00
959,95,826900.00
964,103,922800.00
965,99,841000.00
966,106,968300.00
968,92,805600.00
969,105,946500.00
972,107,921200.00
975,97,761100.00
976,97,907400.00
977,99,907500.00
979,90,794000.00
980,96,859600.00
982,91,772900.00
986,108,980500.00
988,89,800000.00
989,99,866400.00
993,96,833600.00
994,103,933100.00
997,90,832100.00
998,112,993400.00
1004,108,967800.00
1005,93,853400.00
1009,91,825500.00
1012,89,758300.00
1013,87,786000.00
1016,110,981800.00
1017,98,859700.00
1018,96,872300.00
1020,106,927800.00
1022,101,908200.00
1023,98,847000.00
1024,92,753600.00
1025,101,882200.00
1032,88,791500.00
1033,96,886200.00
1036,92,754800.00
1037,94,913900.00
1038,1,6700.00
1039,92,831600.00
1040,17,140500.00
1042,103,918600.00
1045,97,853600.00
1047,95,787600.00
1048,108,969000.00
1055,103,921600.00
1056,85,746000.00
1057,90,818800.00
1058,88,793900.00
1061,118,1074700.00
1062,104,981500.00
1063,100,938400.00
1064,73,624500.00
1069,105,907200.00
1070,92,886600.00
1073,101,961400.00
1074,100,899100.00
1075,96,900100.00
1076,118,1063200.00
1079,121,1041600.00
1080,89,760700.00
1081,88,833800.00
1085,97,827000.00
1086,101,907600.00
1087,103,867800.00
1091,4,27400.00
1092,84,779800.00
1095,101,878600.00
1099,97,906200.00
1102,94,846800.00
1104,94,858900.00
1105,97,894100.00
1106,107,947200.00
1109,114,1034600.00
1113,94,779700.00
1114,90,806700.00
1115,103,946400.00
1119,103,907700.00
1120,101,948700.00
1121,92,844300.00
1123,102,901600.00
1125,96,911600.00
1127,100,940800.00
1129,99,932300.00
1130,97,827000.00
1131,89,826600.00
1135,106,980400.00
1137,94,859500.00
1138,98,899600.00
1139,114,994700.00
1140,94,807500.00
1143,97,867500.00
1144,99,879700.00
1145,109,960600.00
1147,115,1040100.00
1153,69,663000.00
1154,97,866300.00
1155,95,773700.00
1156,101,934800.00
1159,90,830900.00
1161,94,847400.00
1163,99,867600.00
1164,91,892600.00
1165,94,860100.00
1171,110,1048900.00
1172,85,825200.00
1173,97,826400.00
1174,96,846300.00
1175,96,925500.00
1176,108,888000.00
1181,94,857700.00
1182,126,1103500.00
1184,107,987100.00
1185,87,761200.00
1186,100,939000.00
1188,90,846600.00
1189,92,832800.00
1190,101,893100.00
1196,100,874900.00
1200,104,941000.00
1201,92,792900.00
1202,98,899000.00
1205,91,864800.00
1206,92,807400.00
1207,98,807700.00
1209,103,882300.00
1210,105,973700.00
1212,96,848100.00
1213,101,893100.00
1217,95,826300.00
1219,6,80700.00
1221,102,873200.00
1222,104,901700.00
1225,91,774700.00
1227,103,973600.00
1229,103,879900.00
1230,93,826800.00
1234,110,1034400.00
1237,108,1006500.00
1238,91,788600.00
1239,95,839600.00
1242,114,969300.00
1243,27,248000.00
1249,110,1021700.00
1250,89,786100.00
1251,94,782100.00
1252,120,1088700.00
1255,95,825100.00
1256,99,867600.00
1257,96,848700.00
1260,90,833300.00
1261,115,1015900.00
1266,124,1064100.00
1267,92,820700.00
1268,124,1064100.00
1269,106,928400.00
1274,91,800100.00
1275,105,919900.00
1279,91,812800.00
1280,109,933400.00
1281,86,791400.00
1283,101,866500.00
1284,90,794600.00
1285,88,737100.00
1286,112,1020600.00
1289,91,798900.00
1290,89,798800.00
1291,106,967100.00
1297,94,886700.00
1298,96,833000.00
1299,100,874300.00
1301,99,868200.00
1303,121,1093600.00
1306,108,940600.00
1307,95,802100.00
1308,98,872400.00
1309,93,826800.00
1310,92,806200.00
1311,104,965800.00
1314,104,954300.00
1315,102,886500.00
1318,92,834000.00
1319,90,846000.00
1323,107,988900.00
1324,98,925600.00
1326,82,751900.00
1327,92,818300.00
1328,84,767100.00
1331,99,880300.00
1333,109,975100.00
1337,110,1007800.00
1338,103,936100.00
1339,97,906200.00
1340,100,940800.00
1341,108,967200.00
1346,96,861400.00
1347,104,915000.00
1351,101,974700.00
1355,106,993700.00
1356,92,885400.00
1358,97,880800.00
1359,91,814000.00
1361,101,893700.00
1364,89,800000.00
1365,110,980000.00
1366,96,847500.00
1368,86,752100.00
1369,103,934300.00
1370,97,880200.00
1371,97,814300.00
1374,97,880800.00
1378,94,872800.00
1381,103,932500.00
1382,96,888000.00
1383,104,873900.00
1385,84,726000.00
1389,9,60900.00
1391,91,840600.00
1392,95,840200.00
1393,127,1162200.00
1394,96,833600.00
1398,98,845800.00
1402,92,832200.00
1404,95,907900.00
1405,104,847900.00
1410,100,899700.00
1412,98,886900.00
1413,89,773400.00
1414,99,880300.00
1415,101,894300.00
1416,98,872400.00
1421,99,880300.00
1422,111,1027200.00
1425,117,1002700.00
1426,108,1008300.00
1432,111,960700.00
1433,97,827600.00
1434,126,1141600.00
1436,92,818900.00
1441,100,940200.00
1442,88,820500.00
1446,117,1079500.00
1447,95,855300.00
1448,93,866700.00
1450,103,896200.00
1451,97,880800.00
1452,98,861500.00
1453,111,1000600.00
1455,100,901500.00
1458,90,818200.00
1459,97,840900.00
1460,92,872100.00
1463,90,792200.00
1464,4,27400.00
1465,116,1022600.00
1466,14,121000.00
1472,106,994900.00
1475,99,945600.00
1476,119,1042100.00
1479,98,901400.00
1480,91,852700.00
1483,88,779400.00
1484,121,1080900.00
1490,119,1082000.00
1491,96,885000.00
1494,55,516600.00
1495,87,788400.00
1497,105,947100.00
1498,1,6700.00
1501,100,914800.00
1504,94,861900.00
1509,83,706000.00
1510,97,882000.00
1511,91,812800.00
1519,110,955800.00
1520,101,894900.00
1521,101,867100.00
1522,94,808700.00
1523,95,841400.00
1524,29,236000.00
1525,102,912500.00
1529,88,804200.00
1532,109,974500.00
1533,99,880900.00
1534,105,893300.00
1537,104,966400.00
1542,97,905600.00
1543,97,854800.00
1545,95,787000.00
1546,95,827500.00
1548,88,752200.00
1549,105,960400.00
1550,97,827000.00
1552,93,854000.00
1556,95,828100.00
1557,107,972000.00
1558,93,800800.00
1559,96,845100.00
1561,104,939200.00
1562,98,886300.00
1567,106,861300.00
1570,96,898900.00
1571,88,818700.00
1574,106,928400.00
1578,100,899700.00
1579,94,793600.00
1580,98,847000.00
1581,87,786000.00
1582,94,861300.00
1583,97,787700.00
1584,93,852200.00
1585,330,11334700.00
1586,323,11172800.00
1587,323,11284400.00
1588,311,10877100.00
1589,311,10760000.00
1590,343,11772700.00
1591,331,11270500.00
1592,343,11847900.00
1593,344,11875800.00
1594,325,11178400.00
1595,350,11973600.00
1596,354,12048800.00
1597,352,12230300.00
1598,339,11850700.00
1599,326,11223000.00
1600,345,12035000.00
1601,360,12380900.00
1602,343,11806200.00
1603,368,12665400.00
1604,345,11828600.00
1605,345,11995900.00
1606,321,11284500.00
1607,332,11577400.00
1608,334,11518800.00
1609,331,11446200.00
1610,336,11535500.00
1611,359,12486900.00
1612,342,11655500.00
1613,329,11435100.00
1614,345,11644400.00
1615,335,11602400.00
1616,335,11248200.00
1617,363,12539900.00
1618,328,11446300.00
1619,365,12592900.00
1620,324,11217600.00
1621,236,8190600.00
1622,340,11700100.00
1623,357,12283200.00
1624,327,11303900.00
1625,343,11870400.00
1626,217,7607600.00
1627,349,11772800.00
1628,336,11755800.00
1629,342,11898200.00
1630,336,11708500.00
1631,338,11725400.00
1632,335,11583100.00
1633,355,12299900.00
1634,266,9075000.00
1635,351,12110200.00
1636,349,12023700.00
1637,227,7861400.00
1638,335,11530000.00
1639,357,12350300.00
1640,348,12007100.00
1641,370,12771400.00
1642,345,11906600.00
1643,322,11092000.00
1644,340,11853600.00
1645,371,12838400.00
1646,370,12793700.00
1647,358,12433800.00
1648,368,12512000.00
1649,344,11876000.00
1650,355,12135300.00
1651,351,12071200.00
1652,329,11488200.00
1653,350,12101900.00
1654,350,12135400.00
1655,352,12219000.00
1656,378,13036500.00
1657,347,11998700.00
1658,360,12470100.00
1659,353,12129700.00
1660,362,12606800.00
1661,345,11881500.00
1662,352,12018200.00
1663,340,11823000.00
1664,338,11761500.00
1665,339,11739200.00
1666,331,11457500.00
1667,358,12400400.00
1668,317,11027800.00
1669,339,11778300.00
1670,331,11159000.00
1671,365,12598500.00
1672,339,11750500.00
1673,336,11566200.00
1674,330,11259500.00
1675,322,11225900.00
1676,381,13156400.00
1677,350,12230200.00
1678,341,11881500.00
1679,317,10930300.00
1680,219,7523800.00
1681,356,12308200.00
1682,339,11755900.00
1683,346,12004200.00
1684,339,11583000.00
1685,340,11895400.00
1686,322,11356900.00
1687,345,11956900.00
1688,372,12958300.00
1689,350,12026500.00
1690,368,12698900.00
1691,361,12431000.00
1692,358,12132600.00
1693,333,11541000.00
1694,346,11853600.00
1695,329,11156100.00
1696,23,739300.00
1697,78,2806400.00
1698,332,11309600.00
1699,342,11875900.00
1700,323,11158900.00
1701,195,6846100.00
1702,17,532800.00
1703,329,11136600.00
1704,342,11783800.00
1705,332,11557800.00
1706,348,11990300.00
1707,350,12043300.00
1708,327,11122600.00
1709,357,12185700.00
1710,353,12073900.00
1711,357,12372500.00
1712,334,11390500.00
1713,364,12534300.00
1714,349,12207800.00
1715,343,11948400.00
1716,336,11591400.00
1717,344,12043300.00
1718,347,12171500.00
1719,106,3548700.00
1720,351,12246900.00
1721,341,11892600.00
1722,316,10773900.00
1723,323,11100400.00
1724,361,12344600.00
1725,344,11742000.00
1726,354,12227400.00
1727,348,12096300.00
1728,327,11192400.00
1729,326,11281800.00
1730,311,10779600.00
1731,339,11686100.00
1732,372,12830100.00
1733,362,12590100.00
1734,376,13019700.00
1735,345,11881500.00
1736,131,4569700.00
1737,355,12355800.00
1738,345,11870400.00
1739,333,11772700.00
1740,364,12587300.00
1741,354,12249700.00
1742,336,11524300.00
1743,336,11652700.00
1744,323,11273300.00
1745,355,12260900.00
1746,353,12146600.00
1747,326,11170000.00
1748,311,10436400.00
1749,335,11722400.00
1750,340,11834000.00
1751,361,12408800.00
1752,367,12581600.00
1753,339,11661100.00
1754,340,11705700.00
1755,359,12562100.00
1756,339,11677800.00
1757,333,11415600.00
1758,367,12707300.00
1759,342,11817300.00
1760,336,11761600.00
1761,369,12523100.00
1762,340,11839600.00
1763,337,11633100.00
1764,342,11931600.00
1765,348,12021000.00
1766,347,11906600.00
1767,339,11613800.00
1768,351,11942700.00
1769,352,12118700.00
1770,347,11998600.00
1771,347,11984600.00
1772,357,12406000.00
1773,328,11164500.00
1774,330,11499300.00
1775,358,12347400.00
1776,336,11574700.00
1777,343,11850700.00
1778,337,11605300.00
1779,350,12210700.00
1780,289,9939700.00
1781,350,12146400.00
1782,344,11931700.00
1783,312,10721000.00
1784,325,11172800.00
1785,333,11496500.00
1786,326,11259300.00
1787,340,11683500.00
1788,329,11396000.00
1789,342,11842400.00
1790,315,10840800.00
1791,366,12534300.00
1792,334,11624700.00
1793,337,11471300.00
1794,330,11315300.00
1795,332,11546700.00
1796,263,9058100.00
1797,338,11619100.00
1798,323,11217400.00
1799,351,12152000.00
1800,332,11496400.00
1801,341,11569000.00
1802,355,12244100.00
1803,331,11440700.00
1804,337,11359800.00
1805,365,12595700.00
1806,338,11616600.00
1807,348,11767100.00
1808,350,12138100.00
1809,354,12235800.00
1810,326,11343100.00
1811,333,11133900.00
1812,347,11912100.00
1813,345,11959600.00
1814,344,11800600.00
1815,331,11379300.00
1816,359,12500700.00
1817,360,12207900.00
1818,362,12531400.00
1819,333,11354300.00
1820,337,11736500.00
1821,336,11446300.00
1822,349,12018200.00
1823,332,11465800.00
1824,340,11725200.00
1825,348,11923300.00
1826,362,12397600.00
1827,333,11499200.00
1828,341,11847900.00
1829,8,242700.00
1830,342,11892600.00
1831,358,12327800.00
1832,360,12255300.00
1833,368,12564900.00
1834,319,11133900.00
1835,327,11331900.00
1836,341,11806200.00
1837,341,11870300.00
1838,332,11627500.00
1839,342,11580200.00
1840,335,11658300.00
1841,351,12037700.00
1842,355,12369700.00
1843,325,10966500.00
1844,332,11463000.00
1845,322,11117100.00
1846,350,12054600.00
1847,341,11775400.00
1848,359,12467300.00
1849,336,11694500.00
1850,343,11803400.00
1851,340,11624900.00
1852,368,12777000.00
1853,350,12004100.00
1854,340,11875900.00
1855,313,10732100.00
1856,357,12372500.00
1857,331,11468700.00
1858,336,11594300.00
1859,365,12595600.00
1860,359,12481300.00
1861,362,12626300.00
1862,330,11376600.00
1863,348,12171500.00
1864,363,12615200.00
1865,378,12980600.00
1866,342,11750200.00
1867,352,12305500.00
1868,302,10534000.00
1869,30,1029400.00
1870,262,9055400.00
1871,347,11811700.00
1872,325,11228700.00
1873,353,11945700.00
1874,335,11602500.00
1875,340,11686200.00
1876,364,12651400.00
1877,346,12009800.00
1878,356,12233000.00
1879,362,12458900.00
1880,333,11206400.00
1881,341,11898200.00
1882,314,10709700.00
1883,352,12118600.00
1884,344,11722600.00
1885,334,11708400.00
1886,345,11979100.00
1887,341,11811700.00
1888,338,11373700.00
1889,323,11331900.00
1890,340,11613800.00
1891,148,4960200.00
1892,336,11538300.00
1893,320,10961000.00
1894,325,11231500.00
1895,339,11739200.00
1896,333,11471500.00
1897,314,10788000.00
1898,36,1238700.00
1899,365,12562200.00
1900,115,3841500.00
1901,344,11892600.00
1902,264,9169700.00
1903,349,12149200.00
1904,343,11976300.00
1905,323,11022100.00
1906,333,11624800.00
1907,351,12099000.00
1908,330,11242600.00
1909,343,11920600.00
1910,100,3423100.00
1911,338,11633200.00
1912,339,11605300.00
1913,363,12654200.00
1914,364,12517500.00
1915,341,11828400.00
1916,339,11552300.00
1917,342,12026500.00
1918,353,12087900.00
1919,360,12492500.00
1920,319,11108500.00
1921,330,11276200.00
1922,350,11954000.00
1923,353,12096300.00
1924,330,11496500.00
1925,326,11295500.00
1926,347,11901200.00
1927,210,7236400.00
1928,362,12283300.00
1929,331,11231600.00
1930,338,11898200.00
1931,333,11499300.00
1932,334,11443500.00
1933,354,12174600.00
1934,324,11142300.00
1935,352,12032100.00
1936,337,11641600.00
1937,328,11382000.00
1938,336,11602500.00
1939,69,2658600.00
1940,330,11449100.00
1941,339,11959500.00
1942,308,10665100.00
1943,343,11920600.00
1944,328,11370900.00
1945,344,11795100.00
1946,344,11951200.00
1947,381,13212200.00
1948,354,12012600.00
1949,347,12040400.00
1950,331,11432400.00
1951,326,11220300.00
1952,333,11423900.00
1953,349,11976300.00
1954,323,11153300.00
1955,321,10994400.00
1956,350,11990200.00
1957,226,7936700.00
1958,356,12330600.00
1959,324,10972100.00
1960,347,12093400.00
1961,334,11482500.00
1962,340,11616400.00
1963,351,12207800.00
1964,310,10640200.00
1965,350,12037800.00
1966,335,11379400.00
1967,343,11889900.00
1968,357,12205000.00
1969,64,2095000.00
1970,344,11820100.00
1971,340,11728000.00
1972,239,8120900.00
1973,345,11708600.00
1974,370,12830000.00
1975,348,12012500.00
1976,376,12944400.00
1977,356,12152100.00
1978,329,11253800.00
1979,323,11192500.00
1980,313,10732000.00
1981,146,1415700.00
1982,159,1525000.00
1983,164,1589600.00
1984,148,1444400.00
1985,135,1277200.00
1986,138,1315200.00
1987,160,1531500.00
1988,154,1503300.00
1989,166,1589000.00
1990,148,1428700.00
1991,146,1445000.00
1992,148,1360000.00
1993,160,1545100.00
1994,152,1416000.00
1995,142,1387600.00
1996,156,1474100.00
1997,147,1437900.00
1998,156,1517000.00
1999,150,1443800.00
2000,161,1539400.00
2001,152,1417400.00
2002,155,1494800.00
2003,148,1429400.00
2004,145,1367000.00
2005,146,1401400.00
2006,140,1373200.00
2007,147,1409300.00
2008,122,1156400.00
2009,140,1301000.00
2010,154,1502600.00
2011,146,1414300.00
2012,112,1128700.00
2013,144,1385600.00
2014,160,1545800.00
2015,142,1371200.00
2016,151,1452400.00
2017,149,1408000.00
2018,162,1560900.00
2019,146,1401400.00
2020,136,1315100.00
2021,150,1445200.00
2022,143,1365500.00
2023,144,1387700.00
2024,155,1495500.00
2025,154,1472600.00
2026,145,1424200.00
2027,155,1509100.00
2028,146,1373500.00
2029,137,1322300.00
2030,150,1473800.00
2031,153,1453200.00
2032,137,1335900.00
2033,142,1316100.00
2034,147,1466500.00
2035,154,1460400.00
2036,137,1322300.00
2037,142,1386200.00
2038,151,1452400.00
2039,132,1256300.00
2040,143,1407700.00
2041,159,1509300.00
2042,155,1510500.00
2043,131,1222600.00
2044,149,1452300.00
2045,145,1379200.00
2046,167,1582600.00
2047,142,1302500.00
2048,148,1401500.00
2049,51,499400.00
2050,147,1380000.00
2051,141,1322500.00
2052,158,1546400.00
2053,145,1379200.00
2054,155,1495500.00
2055,70,651200.00
2056,146,1416400.00
2057,134,1343600.00
2058,137,1306600.00
2059,150,1431600.00
2060,162,1560900.00
2061,162,1575200.00
2062,131,1321300.00
2063,150,1403000.00
2064,144,1358400.00
2065,152,1388100.00
2066,144,1387700.00
2067,147,1366400.00
2068,157,1509900.00
2069,1,7200.00
2070,154,1502600.00
2071,166,1603300.00
2072,142,1329700.00
2073,135,1292900.00
2074,145,1423500.00
2075,156,1502700.00
2076,161,1568000.00
2077,154,1488300.00
2078,159,1510700.00
2079,151,1409500.00
2080,150,1445900.00
2081,137,1321600.00
2082,167,1596200.00
2083,150,1473800.00
2084,149,1424400.00
2085,149,1421600.00
2086,153,1467500.00
2087,135,1307900.00
2088,159,1524300.00
2089,162,1560200.00
2090,135,1235000.00
2091,149,1437300.00
2092,144,1402000.00
2093,140,1301700.00
2094,151,1438100.00
2095,169,1611300.00
2096,162,1575200.00
2097,137,1336600.00
2098,139,1350300.00
2099,140,1316000.00
2100,159,1524300.00
2101,152,1446000.00
2102,136,1329400.00
2103,140,1344600.00
2104,70,679800.00
2105,153,1408900.00
2106,146,1402800.00
2107,150,1459500.00
2108,145,1395600.00
2109,160,1517200.00
2110,161,1539400.00
2111,157,1509200.00
2112,154,1473300.00
2113,163,1553800.00
2114,158,1502800.00
2115,150,1460200.00
2116,161,1553700.00
2117,147,1451500.00
2118,137,1350900.00
2119,151,1466700.00
2120,150,1431600.00
2121,73,757900.00
2122,142,1357600.00
2123,147,1422900.00
2124,154,1488300.00
2125,137,1294400.00
2126,166,1604000.00
2127,156,1502700.00
2128,134,1327900.00
2129,145,1394900.00
2130,153,1437500.00
2131,149,1423700.00
2132,143,1379100.00
2133,147,1410000.00
2134,58,506900.00
2135,145,1379900.00
2136,7,79000.00
2137,156,1474800.00
2138,148,1431500.00
2139,158,1545700.00
2140,144,1400600.00
2141,151,1451700.00
2142,156,1531300.00
2143,145,1451400.00
2144,134,1315700.00
2145,140,1372500.00
2146,141,1308200.00
2147,147,1435800.00
2148,163,1582400.00
2149,144,1401300.00
2150,159,1525000.00
2151,153,1467500.00
2152,139,1336000.00
2153,133,1249200.00
2154,158,1503500.00
2155,159,1537900.00
2156,73,713600.00
2157,97,975000.00
2158,158,1517800.00
2159,137,1293700.00
2160,152,1488200.00
2161,155,1495500.00
2162,163,1581700.00
2163,154,1488300.00
2164,149,1424400.00
2165,144,1387700.00
2166,137,1307300.00
2167,160,1546500.00
2168,136,1328000.00
2169,143,1351900.00
2170,142,1316100.00
2171,149,1422300.00
2172,137,1309400.00
2173,146,1400700.00
